file_name	seed	formula_x	formula_y
NA	NA	NA	NA
2021-10-22-10-00_seed_971.png	971	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-00_seed_2543.png	2543	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-00_seed_5819.png	5819	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-00_seed_7644.png	7644	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-00_seed_2392.png	2392	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-57_seed_8153.png	8153	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-57_seed_7911.png	7911	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-57_seed_2261.png	2261	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-58_seed_7335.png	7335	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-58_seed_6043.png	6043	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-58_seed_4878.png	4878	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-58_seed_4465.png	4465	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-10-59_seed_8196.png	8196	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-11-00_seed_6212.png	6212	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-11-00_seed_3203.png	3203	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-11-00_seed_7473.png	7473	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-11-01_seed_131.png	131	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-11-01_seed_3538.png	3538	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-11-01_seed_5697.png	5697	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2021-10-22-11-01_seed_7305.png	7305	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-01_seed_3538.png	3538	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-02_seed_8978.png	8978	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-02_seed_7830.png	7830	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-02_seed_7568.png	7568	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-02_seed_6360.png	6360	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-04_seed_8932.png	8932	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-04_seed_9299.png	9299	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-05_seed_2192.png	2192	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-05_seed_4479.png	4479	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-05_seed_8923.png	8923	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-05_seed_4567.png	4567	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2)
2021-10-22-11-06_seed_6531.png	6531	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - sin(x_i^2)
2021-10-22-11-06_seed_1792.png	1792	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - sin(x_i^2)
2021-10-22-11-06_seed_4240.png	4240	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - sin(x_i^2)
2021-10-22-11-08_seed_7672.png	7672	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-08_seed_331.png	331	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-08_seed_906.png	906	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-08_seed_3880.png	3880	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-09_seed_4883.png	4883	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-15_seed_2824.png	2824	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-15_seed_4648.png	4648	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-15_seed_7442.png	7442	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-16_seed_5239.png	5239	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-16_seed_6766.png	6766	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-29_seed_10000.png	10000	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-29_seed_6514.png	6514	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-30_seed_1051.png	1051	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-30_seed_8009.png	8009	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-30_seed_7276.png	7276	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-31_seed_4114.png	4114	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-31_seed_4667.png	4667	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-32_seed_5004.png	5004	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-32_seed_3416.png	3416	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-32_seed_4077.png	4077	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2 + sin(x_i)
2021-10-22-11-33_seed_2667.png	2667	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-33_seed_316.png	316	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-33_seed_6231.png	6231	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-34_seed_5918.png	5918	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-34_seed_2916.png	2916	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 * x_i^2
2021-10-22-11-34_seed_2447.png	2447	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-35_seed_565.png	565	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-35_seed_2564.png	2564	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-35_seed_1190.png	1190	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-35_seed_6104.png	6104	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-39_seed_7874.png	7874	runif(1, -1, 10) * x_i^2 - sin(y_i)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-39_seed_7475.png	7475	runif(1, -1, 10) * x_i^2 - sin(y_i)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-39_seed_7291.png	7291	runif(1, -1, 10) * x_i^2 - sin(y_i)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-39_seed_5776.png	5776	runif(1, -1, 10) * x_i^2 - sin(y_i)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-39_seed_614.png	614	runif(1, -1, 10) * x_i^2 - sin(y_i)	runif(1, -1, 10) * y_i^3 + cos(x_i^3)
2021-10-22-11-41_seed_7363.png	7363	runif(1, -1, 10) * x_i^2 + y_i^2	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-41_seed_8525.png	8525	runif(1, -1, 10) * x_i^2 + y_i^2	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-41_seed_7243.png	7243	runif(1, -1, 10) * x_i^2 + y_i^2	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-42_seed_8667.png	8667	runif(1, -1, 10) * x_i^2 + y_i^2	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-42_seed_962.png	962	runif(1, -1, 10) * x_i^2 + y_i^2	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-42_seed_4434.png	4434	runif(1, -1, 10) * x_i^2 + y_i^2	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-42_seed_59.png	59	runif(1, -1, 10) * x_i^2 + tan(y_i^2)	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-43_seed_9297.png	9297	runif(1, -1, 10) * x_i^2 + tan(y_i^2)	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-43_seed_2700.png	2700	runif(1, -1, 10) * x_i^2 + tan(y_i^2)	runif(1, -1, 10) * x_i^2 + y_i^2
2021-10-22-11-53_seed_5865.png	5865	runif(1, -1, 10) * x_i^2 + sin(y_i^2)	runif(1, -1, 10) * x_i^2 + cos(y_i^3)
2021-10-22-11-53_seed_9494.png	9494	runif(1, -1, 10) * x_i^2 + sin(y_i^2)	runif(1, -1, 10) * x_i^2 + cos(y_i^3)
2021-10-22-11-54_seed_3470.png	3470	runif(1, -1, 10) * x_i^2 + sin(y_i^2)	runif(1, -1, 10) * x_i^2 + cos(y_i^3)
2021-10-22-11-54_seed_1732.png	1732	runif(1, -1, 10) * x_i^2 + sin(y_i^2)	runif(1, -1, 10) * x_i^2 + cos(y_i^3)
2021-10-22-11-54_seed_4567.png	4567	runif(1, -1, 10) * x_i^2 + sin(y_i^2)	runif(1, -1, 10) * x_i^2 + cos(y_i^3)
2021-10-22-11-55_seed_3804.png	3804	runif(1, -1, 10) * x_i^2 + sin(y_i^2)	runif(1, -1, 10) * x_i^2 + cos(y_i^3)
2021-10-22-11-55_seed_3929.png	3929	runif(1, -1, 10) * x_i^2 + sin(y_i^2)	runif(1, -1, 10) * x_i^2 + cos(y_i^3)
2021-10-22-11-55_seed_6653.png	6653	runif(1, -1, 10) * x_i^2 + sin(y_i^2)	runif(1, -1, 10) * x_i^2 + cos(y_i^3)
